issue-id,anti-pattern,detailed category (if applicable),link
spree-6750,Inefficient Computation,Inefficient queries,https://github.com/spree/spree/pull/6750
spree-6720,Inefficient Computation,Moving computation to the DBMS / Inefficient queries,https://github.com/spree/spree/pull/6720
spree-6950,Inefficient Computation,Moving computation to the DBMS,https://github.com/spree/spree/pull/6950
spree-2468,Inefficient Computation,Moving computation to the DBMS,https://github.com/spree/spree/pull/2468
spree-6819,Inefficient Computation,Moving computation to the Server,https://github.com/spree/spree/pull/6819
spree-6379,Unnecessary Computation,Dead store query,https://github.com/spree/spree/pull/6379
spree-8145,Unnecessary Computation,Dead store query,https://github.com/spree/spree/pull/8145
spree-5566,Unnecessary Computation,Dead store query,https://github.com/spree/spree/pull/5566
spree-5565,Unnecessary Computation,Query with known results,https://github.com/spree/spree/pull/5565
spree-4579,Inefficient data access,Inefficient lazy loading,https://github.com/spree/spree/pull/4579
spree-6754,Inefficient data access,Inefficient lazy loading,https://github.com/spree/spree/pull/6754
spree-5721,Inefficient data access,Inefficient lazy loading,https://github.com/spree/spree/pull/5721
spree-4534,Inefficient data access,Inefficient lazy loading,https://github.com/spree/spree/pull/4534
spree-5690,Inefficient data access,Inefficient lazy loading,https://github.com/spree/spree/pull/5690
spree-7456,Inefficient data access,Inefficient lazy loading,https://github.com/spree/spree/pull/7456
spree-5063,Inefficient data access,Inefficient eager loading,https://github.com/spree/spree/pull/5063
spree-6816,Inefficient data access,Inefficient lazy loading,https://github.com/spree/spree/pull/6816
spree-7170,Inefficient data access,Inefficient lazy loading,https://github.com/spree/spree/pull/7170
spree-7511,Inefficient data access,Inefficient lazy loading,https://github.com/spree/spree/pull/7511
spree-6856,Inefficient data access,Inefficient update,https://github.com/spree/spree/pull/6856
spree-2468,Unnecessary Data Retrieval,,https://github.com/spree/spree/pull/2468
spree-7078,Unnecessary Data Retrieval,,https://github.com/spree/spree/pull/7078
spree-7098,Missing index,,https://github.com/spree/spree/pull/7098
spree-5648,Missing index,,https://github.com/spree/spree/pull/5648
spree-4909,Missing index,,https://github.com/spree/spree/pull/4909
spree-3634,Missing fields,,https://github.com/spree/spree/pull/3634
spree-7301,Missing fields,,https://github.com/spree/spree/pull/7301
spree-6379,Unnecessary Feature,,https://github.com/spree/spree/pull/6379
Redmine-23318,Inefficient Computation,Inefficient queries,http://www.redmine.org//issues/23318
Redmine-24839,Inefficient Computation,Inefficient queries,http://www.redmine.org//issues/24839
Redmine-17203,Inefficient Computation,Inefficient queries,http://www.redmine.org//issues/17203
Redmine-11827,Inefficient Computation,Inefficient queries,http://www.redmine.org//issues/11827
Redmine-13301,Inefficient Computation,Moving computation to the DBMS,http://www.redmine.org//issues/13301
Redmine-18290,Inefficient Computation,Inefficient queries,http://www.redmine.org//issues/18290
Redmine-8301,Unnecessary Computation,Loop-invariant queries,http://www.redmine.org//issues/8301
